,class_ids,classes,logistic,logits,probabilities
0,[0],[b'0'],[0.],[-33242.1],[1. 0.]
1,[0],[b'0'],[0.],[-33131.555],[1. 0.]
2,[0],[b'0'],[0.],[-36254.28],[1. 0.]
3,[0],[b'0'],[0.],[-32075.559],[1. 0.]
4,[0],[b'0'],[0.],[-27891.959],[1. 0.]
5,[0],[b'0'],[0.],[-32846.58],[1. 0.]
6,[0],[b'0'],[0.],[-36152.395],[1. 0.]
7,[0],[b'0'],[0.],[-31955.65],[1. 0.]
8,[0],[b'0'],[0.],[-31024.408],[1. 0.]
9,[0],[b'0'],[0.],[-29338.625],[1. 0.]
10,[0],[b'0'],[0.],[-32323.182],[1. 0.]
11,[0],[b'0'],[0.],[-37979.547],[1. 0.]
12,[0],[b'0'],[0.],[-31476.137],[1. 0.]
13,[0],[b'0'],[0.],[-32450.475],[1. 0.]
14,[0],[b'0'],[0.],[-31461.062],[1. 0.]
15,[0],[b'0'],[0.],[-33120.984],[1. 0.]
16,[0],[b'0'],[0.],[-31117.375],[1. 0.]
17,[0],[b'0'],[0.],[-32047.855],[1. 0.]
18,[0],[b'0'],[0.],[-32202.305],[1. 0.]
19,[0],[b'0'],[0.],[-31542.676],[1. 0.]
20,[0],[b'0'],[0.],[-31935.482],[1. 0.]
21,[0],[b'0'],[0.],[-29976.62],[1. 0.]
22,[0],[b'0'],[0.],[-31599.023],[1. 0.]
23,[0],[b'0'],[0.],[-29522.133],[1. 0.]
24,[0],[b'0'],[0.],[-28231.287],[1. 0.]
25,[0],[b'0'],[0.],[-31052.586],[1. 0.]
26,[0],[b'0'],[0.],[-31757.955],[1. 0.]
27,[0],[b'0'],[0.],[-32852.836],[1. 0.]
28,[0],[b'0'],[0.],[-32584.902],[1. 0.]
29,[0],[b'0'],[0.],[-28815.066],[1. 0.]
30,[0],[b'0'],[0.],[-30204.084],[1. 0.]
31,[0],[b'0'],[0.],[-33145.336],[1. 0.]
32,[0],[b'0'],[0.],[-28918.057],[1. 0.]
33,[0],[b'0'],[0.],[-29890.555],[1. 0.]
34,[0],[b'0'],[0.],[-32254.316],[1. 0.]
35,[0],[b'0'],[0.],[-32406.451],[1. 0.]
36,[0],[b'0'],[0.],[-33120.438],[1. 0.]
37,[0],[b'0'],[0.],[-33165.75],[1. 0.]
38,[1],[b'1'],[1.],[8781.604],[0. 1.]
39,[0],[b'0'],[0.],[-29645.537],[1. 0.]
40,[0],[b'0'],[0.],[-33376.227],[1. 0.]
41,[0],[b'0'],[0.],[-35712.8],[1. 0.]
42,[0],[b'0'],[0.],[-31760.564],[1. 0.]
43,[0],[b'0'],[0.],[-31550.088],[1. 0.]
44,[0],[b'0'],[0.],[-31484.48],[1. 0.]
45,[0],[b'0'],[0.],[-32465.799],[1. 0.]
46,[0],[b'0'],[0.],[-32230.83],[1. 0.]
47,[0],[b'0'],[0.],[-31009.857],[1. 0.]
48,[0],[b'0'],[0.],[-30973.41],[1. 0.]
49,[0],[b'0'],[0.],[-31690.154],[1. 0.]
50,[0],[b'0'],[0.],[-33016.473],[1. 0.]
51,[0],[b'0'],[0.],[-31040.79],[1. 0.]
52,[0],[b'0'],[0.],[-29115.172],[1. 0.]
53,[0],[b'0'],[0.],[-32939.1],[1. 0.]
54,[0],[b'0'],[0.],[-29304.367],[1. 0.]
55,[0],[b'0'],[0.],[-31002.107],[1. 0.]
56,[0],[b'0'],[0.],[-31861.158],[1. 0.]
57,[0],[b'0'],[0.],[-29128.703],[1. 0.]
58,[0],[b'0'],[0.],[-31167.197],[1. 0.]
59,[0],[b'0'],[0.],[-31641.361],[1. 0.]
60,[0],[b'0'],[0.],[-31953.553],[1. 0.]
61,[0],[b'0'],[0.],[-30970.475],[1. 0.]
62,[0],[b'0'],[0.],[-32186.898],[1. 0.]
63,[0],[b'0'],[0.],[-32061.049],[1. 0.]
64,[0],[b'0'],[0.],[-31753.723],[1. 0.]
65,[0],[b'0'],[0.],[-32168.266],[1. 0.]
66,[0],[b'0'],[0.],[-34073.332],[1. 0.]
67,[0],[b'0'],[0.],[-33185.438],[1. 0.]
68,[0],[b'0'],[0.],[-31811.08],[1. 0.]
69,[0],[b'0'],[0.],[-32692.773],[1. 0.]
70,[0],[b'0'],[0.],[-33171.52],[1. 0.]
71,[0],[b'0'],[0.],[-31103.615],[1. 0.]
72,[0],[b'0'],[0.],[-31480.633],[1. 0.]
73,[0],[b'0'],[0.],[-30916.875],[1. 0.]
74,[0],[b'0'],[0.],[-31939.38],[1. 0.]
75,[0],[b'0'],[0.],[-30967.133],[1. 0.]
76,[0],[b'0'],[0.],[-32673.31],[1. 0.]
77,[0],[b'0'],[0.],[-29518.822],[1. 0.]
78,[0],[b'0'],[0.],[-30282.273],[1. 0.]
79,[0],[b'0'],[0.],[-29926.557],[1. 0.]
80,[0],[b'0'],[0.],[-33692.746],[1. 0.]
81,[0],[b'0'],[0.],[-32999.92],[1. 0.]
82,[0],[b'0'],[0.],[-28936.443],[1. 0.]
83,[0],[b'0'],[0.],[-36046.97],[1. 0.]
84,[0],[b'0'],[0.],[-33712.582],[1. 0.]
